gene.id,chr,start,end,length,mean,median,sd,q0,q25,q50,q75,q100
ENSG00000228436.3,chr1,38859911,38965038,105127,NaN,,,,,,,
ENSG00000214114.9,chr1,38862492,38873368,10876,NaN,,,,,,,
ENSG00000274944.4,chr1,38864500,38881617,17117,NaN,,,,,,,
ENSG00000131233.10,chr1,38874068,38881587,7519,NaN,,,,,,,
ENSG00000158315.11,chr1,38885806,38941830,56024,NaN,,,,,,,
ENSG00000199963.1,chr1,38926869,38926977,108,NaN,,,,,,,
ENSG00000207466.1,chr1,38950824,38950925,101,NaN,,,,,,,
ENSG00000235549.1,chr1,38958274,38958925,651,NaN,,,,,,,
ENSG00000174574.16,chr1,38991275,39006059,14784,136.66,136,2.29,136,136,136,137,184
ENSG00000168653.11,chr1,39026317,39034636,8319,NaN,,,,,,,
ENSG00000127603.29,chr1,39081315,39487177,405862,NaN,,,,,,,
ENSG00000206654.1,chr1,39120939,39121043,104,NaN,,,,,,,
ENSG00000222378.1,chr1,39154163,39154296,133,NaN,,,,,,,
ENSG00000287422.1,chr1,39226669,39238620,11951,NaN,,,,,,,
ENSG00000226438.1,chr1,39249837,39257649,7812,NaN,,,,,,,
ENSG00000217897.2,chr1,39304293,39304898,605,NaN,,,,,,,
ENSG00000183682.8,chr1,39491635,39529869,38234,NaN,,,,,,,
ENSG00000237624.1,chr1,39514955,39516490,1535,NaN,,,,,,,
ENSG00000243970.3,chr1,39522279,39559671,37392,NaN,,,,,,,
ENSG00000090621.14,chr1,39560815,39576790,15975,NaN,,,,,,,
ENSG00000228060.3,chr1,39565051,39573860,8809,NaN,,,,,,,
ENSG00000201457.1,chr1,39567373,39567508,135,NaN,,,,,,,
ENSG00000163909.8,chr1,39623434,39639643,16209,NaN,,,,,,,
ENSG00000225903.1,chr1,39633415,39633903,488,NaN,,,,,,,
ENSG00000116981.3,chr1,39659120,39672038,12918,NaN,,,,,,,
ENSG00000116983.13,chr1,39678647,39691485,12838,NaN,,,,,,,
ENSG00000084072.17,chr1,39692181,39763914,71733,NaN,,,,,,,
ENSG00000225333.6,chr1,39718027,39718595,568,NaN,,,,,,,
ENSG00000252413.1,chr1,39723565,39723627,62,NaN,,,,,,,
ENSG00000116985.12,chr1,39757181,39788865,31684,NaN,,,,,,,
ENSG00000198754.5,chr1,39769522,39771348,1826,NaN,,,,,,,
ENSG00000285905.1,chr1,39779968,39781418,1450,NaN,,,,,,,
ENSG00000261798.1,chr1,39788975,39790171,1196,NaN,,,,,,,
ENSG00000229213.1,chr1,39795842,39795996,154,NaN,,,,,,,
ENSG00000284719.1,chr1,39799421,39809450,10029,NaN,,,,,,,
ENSG00000284678.1,chr1,39801413,39817460,16047,NaN,,,,,,,
ENSG00000043514.17,chr1,39838109,39883511,45402,NaN,,,,,,,
ENSG00000202222.1,chr1,39881565,39881678,113,NaN,,,,,,,
ENSG00000116990.11,chr1,39895425,39902256,6831,NaN,,,,,,,
ENSG00000236546.1,chr1,39897744,39899098,1354,NaN,,,,,,,
ENSG00000207356.1,chr1,39944889,39944998,109,NaN,,,,,,,
ENSG00000168389.18,chr1,39955111,39969968,14857,NaN,,,,,,,
ENSG00000228477.1,chr1,39962679,39963404,725,NaN,,,,,,,
ENSG00000131236.17,chr1,40040232,40072649,32417,654.89,650,35.25,650,650,650,651,1058
ENSG00000131238.18,chr1,40072709,40097260,24551,506.5,505.5,3.89,503,503.5,505.5,508.25,513
ENSG00000226745.2,chr1,40132763,40133448,685,NaN,,,,,,,
ENSG00000117000.9,chr1,40161386,40240921,79535,NaN,,,,,,,
ENSG00000207508.1,chr1,40177842,40177949,107,NaN,,,,,,,
ENSG00000188800.6,chr1,40245946,40251684,5738,NaN,,,,,,,
ENSG00000259943.1,chr1,40256426,40257967,1541,NaN,,,,,,,
ENSG00000084073.10,chr1,40258040,40294180,36140,NaN,,,,,,,
ENSG00000231296.1,chr1,40262671,40262984,313,NaN,,,,,,,
ENSG00000049089.15,chr1,40300488,40317813,17325,NaN,,,,,,,
ENSG00000227311.3,chr1,40333077,40333557,480,NaN,,,,,,,
ENSG00000084070.12,chr1,40344849,40423326,78477,707.8,686,64.57,3,680,686,699,1101
ENSG00000213172.3,chr1,40364765,40365183,418,NaN,,,,,,,
ENSG00000284677.1,chr1,40436198,40450039,13841,1.14,1,0.44,1,1,1,1,3
ENSG00000187801.15,chr1,40450101,40463718,13617,4.6,6,1.98,1,2,6,6,9
ENSG00000260920.2,chr1,40464318,40466767,2449,2.33,2,1.17,1,1,2,3,5
ENSG00000279667.1,chr1,40473054,40474059,1005,1.29,1,0.45,1,1,1,2,2
ENSG00000187815.10,chr1,40477289,40496343,19054,6.53,6,2.19,1,5,6,8,17
ENSG00000238287.1,chr1,40493156,40508661,15505,4.22,3,2.08,2,3,3,5,17
ENSG00000164002.11,chr1,40508740,40516556,7816,12.28,13,3.4,1,13,13,14,20
ENSG00000227278.1,chr1,40514460,40515057,597,14.56,15,2.2,8,13,15,16,20
ENSG00000238186.1,chr1,40515753,40517174,1421,3.67,3,2.43,1,2,3,4,12
ENSG00000117010.17,chr1,40531572,40548167,16595,5.66,6,1.52,1,5,6,6,10
ENSG00000286838.1,chr1,40559665,40584335,24670,1.02,1,0.14,1,1,1,1,2
ENSG00000236505.1,chr1,40563533,40563659,126,1,1,0,1,1,1,1,1
ENSG00000233910.1,chr1,40593632,40594353,721,1,1,0,1,1,1,1,1
ENSG00000117016.10,chr1,40620679,40665682,45003,2.46,3,1.35,1,1,3,3,11
ENSG00000287743.1,chr1,40659847,40667480,7633,NaN,,,,,,,
ENSG00000237899.1,chr1,40669088,40687588,18500,3.32,3,1.77,1,2,3,5,8
ENSG00000272145.1,chr1,40690379,40692066,1687,17.53,3,27.04,1,2,3,15,78
ENSG00000066136.20,chr1,40691647,40771603,79956,87.9,80,17.74,2,75,80,99,158
ENSG00000198974.3,chr1,40754354,40754446,92,98.91,99,0.28,98,99,99,99,99
ENSG00000207962.1,chr1,40757283,40757372,89,98,98,0,98,98,98,98,98
ENSG00000117013.17,chr1,40783786,40840452,56666,1.13,1,0.33,1,1,1,1,2
ENSG00000264582.2,chr1,40804845,40805141,296,NaN,,,,,,,
ENSG00000179862.7,chr1,40861053,40862363,1310,17.68,17,7.36,1,12,17,22,37
ENSG00000229528.1,chr1,40863913,40876670,12757,1,1,0,1,1,1,1,1
ENSG00000228940.1,chr1,40938103,40939763,1660,NaN,,,,,,,
ENSG00000286668.1,chr1,40939293,40945524,6231,1,1,0,1,1,1,1,1
ENSG00000233118.2,chr1,40942250,40942515,265,NaN,,,,,,,
ENSG00000171793.16,chr1,40979687,41012565,32878,13.26,14,4.58,1,10,14,16,32
ENSG00000281207.1,chr1,41014589,41043890,29301,8.53,9,4.65,1,7,9,11,29
ENSG00000171790.15,chr1,41015596,41023237,7641,1.54,1,0.72,1,1,1,2,4
ENSG00000010803.16,chr1,41027199,41242154,214955,8.32,9,3.93,1,3,9,10,29
ENSG00000215893.3,chr1,41098637,41099136,499,10,10,0,10,10,10,10,10
ENSG00000287400.1,chr1,41241771,41338644,96873,11.23,2,13.11,1,1,2,31,35
ENSG00000235358.2,chr1,41242372,41284861,42489,1.39,1,0.6,1,1,1,2,4
ENSG00000213987.4,chr1,41264549,41264862,313,NaN,,,,,,,
ENSG00000286640.1,chr1,41302931,41306148,3217,24.8,31,9.69,1,15,31,31,35
ENSG00000204060.7,chr1,41361921,41383590,21669,1.1,1,0.3,1,1,1,1,2
ENSG00000229901.1,chr1,41375003,41375669,666,NaN,,,,,,,
ENSG00000252563.1,chr1,41466936,41467028,92,NaN,,,,,,,
ENSG00000127129.10,chr1,41478774,41484683,5909,NaN,,,,,,,
ENSG00000127124.16,chr1,41506364,42035925,529561,6.59,5,4.02,1,2,5,10,29
ENSG00000230881.1,chr1,41535442,41535868,426,12.28,12,0.45,12,12,12,13,13
ENSG00000230638.4,chr1,41542068,41544310,2242,12.29,12,0.58,12,12,12,12,14
ENSG00000284895.1,chr1,41585305,41628816,43511,12.03,12,0.28,6,12,12,12,14
ENSG00000287587.1,chr1,42036142,42051784,15642,NaN,,,,,,,
ENSG00000227538.1,chr1,42040596,42041729,1133,NaN,,,,,,,
ENSG00000228776.2,chr1,42140634,42141391,757,NaN,,,,,,,
ENSG00000044012.4,chr1,42153409,42155820,2411,NaN,,,,,,,
ENSG00000197273.4,chr1,42162689,42164745,2056,NaN,,,,,,,
ENSG00000198815.9,chr1,42176538,42335877,159339,41.66,37,14.04,1,32,37,63.75,84
ENSG00000227527.2,chr1,42335385,42338376,2991,2.59,2,1.64,1,1,2,3,7
ENSG00000177181.15,chr1,42380791,42424232,43441,1.25,1,0.53,1,1,1,1,3
ENSG00000235002.1,chr1,42412397,42412794,397,NaN,,,,,,,
ENSG00000066185.13,chr1,42430328,42456253,25925,2.29,2,0.61,1,2,2,3,4
ENSG00000127125.9,chr1,42456116,42473385,17269,23.71,5,35.24,1,5,5,7,130
ENSG00000186409.18,chr1,42463220,42657190,193970,3.57,3,3.38,1,2,3,5,137
ENSG00000230116.1,chr1,42491738,42492493,755,2.03,2,0.17,2,2,2,2,3
ENSG00000236876.3,chr1,42500204,42500339,135,28.25,28,0.5,28,28,28,28.25,29
ENSG00000200254.1,chr1,42569032,42569139,107,NaN,,,,,,,
ENSG00000236180.2,chr1,42570969,42571390,421,NaN,,,,,,,
ENSG00000171960.11,chr1,42658422,42676758,18336,NaN,,,,,,,
ENSG00000285728.2,chr1,42658686,42682160,23474,NaN,,,,,,,
ENSG00000234917.2,chr1,42678734,42681659,2925,NaN,,,,,,,
ENSG00000065978.19,chr1,42682417,42703805,21388,NaN,,,,,,,
ENSG00000164007.11,chr1,42733092,42740254,7162,NaN,,,,,,,
ENSG00000117385.16,chr1,42746334,42767084,20750,NaN,,,,,,,
ENSG00000164008.16,chr1,42767248,42779491,12243,NaN,,,,,,,
ENSG00000283580.3,chr1,42767291,42794493,27202,NaN,,,,,,,
ENSG00000228452.1,chr1,42775812,42776790,978,NaN,,,,,,,
ENSG00000274386.5,chr1,42785006,42816619,31613,NaN,,,,,,,
ENSG00000177868.12,chr1,42807051,42817397,10346,NaN,,,,,,,
ENSG00000164010.15,chr1,42817121,42844991,27870,NaN,,,,,,,
ENSG00000228192.8,chr1,42832521,42846422,13901,NaN,,,,,,,
ENSG00000164011.18,chr1,42846572,42852477,5905,NaN,,,,,,,
ENSG00000233708.1,chr1,42886596,42888767,2171,NaN,,,,,,,
ENSG00000237090.1,chr1,42891093,42892430,1337,NaN,,,,,,,
ENSG00000225099.1,chr1,42903231,42903912,681,NaN,,,,,,,
ENSG00000117394.24,chr1,42925352,42958893,33541,NaN,,,,,,,
ENSG00000284138.1,chr1,42952201,42952641,440,NaN,,,,,,,
ENSG00000227533.6,chr1,42959048,42996814,37766,NaN,,,,,,,
ENSG00000283973.2,chr1,42959064,42961864,2800,NaN,,,,,,,
ENSG00000207256.1,chr1,42991437,42991544,107,NaN,,,,,,,
ENSG00000283136.1,chr1,43023548,43023637,89,NaN,,,,,,,
ENSG00000277513.1,chr1,43104085,43104497,412,NaN,,,,,,,
ENSG00000186973.11,chr1,43145152,43156396,11244,NaN,,,,,,,
ENSG00000117395.13,chr1,43164174,43270936,106762,NaN,,,,,,,
ENSG00000284410.1,chr1,43171651,43171712,61,NaN,,,,,,,
ENSG00000243710.8,chr1,43172329,43254358,82029,NaN,,,,,,,
ENSG00000199240.1,chr1,43196416,43196536,120,NaN,,,,,,,
ENSG00000179178.11,chr1,43269982,43274002,4020,NaN,,,,,,,
ENSG00000253313.6,chr1,43281876,43285617,3741,NaN,,,,,,,
ENSG00000066056.14,chr1,43300981,43323108,22127,NaN,,,,,,,
ENSG00000117400.18,chr1,43337817,43354466,16649,NaN,,,,,,,
ENSG00000287113.1,chr1,43348287,43348844,557,NaN,,,,,,,
ENSG00000234694.1,chr1,43354683,43358658,3975,NaN,,,,,,,
ENSG00000117399.14,chr1,43358980,43363203,4223,NaN,,,,,,,
ENSG00000066322.15,chr1,43363397,43368074,4677,NaN,,,,,,,
ENSG00000283836.1,chr1,43364647,43364715,68,NaN,,,,,,,
ENSG00000159479.17,chr1,43383916,43389808,5892,NaN,,,,,,,
ENSG00000229431.1,chr1,43385112,43389155,4043,NaN,,,,,,,
ENSG00000198198.17,chr1,43389881,43454247,64366,NaN,,,,,,,
ENSG00000229372.1,chr1,43447775,43448644,869,NaN,,,,,,,
ENSG00000274975.1,chr1,43448538,43448611,73,NaN,,,,,,,
ENSG00000178922.16,chr1,43451002,43453989,2987,NaN,,,,,,,
ENSG00000229348.1,chr1,43453926,43456995,3069,NaN,,,,,,,
ENSG00000142949.17,chr1,43525186,43623666,98480,NaN,,,,,,,
ENSG00000066135.13,chr1,43650148,43705518,55370,NaN,,,,,,,
ENSG00000284989.1,chr1,43650148,43931014,280866,NaN,,,,,,,
ENSG00000236200.6,chr1,43685122,43708138,23016,NaN,,,,,,,
ENSG00000126091.21,chr1,43705823,43931165,225342,NaN,,,,,,,
ENSG00000229444.1,chr1,43709391,43727343,17952,NaN,,,,,,,
ENSG00000283414.1,chr1,43716466,43716556,90,NaN,,,,,,,
ENSG00000233674.2,chr1,43743470,43743741,271,NaN,,,,,,,
ENSG00000283477.1,chr1,43838621,43838683,62,NaN,,,,,,,
ENSG00000224751.2,chr1,43850299,43851611,1312,NaN,,,,,,,
ENSG00000117407.17,chr1,43933319,43937240,3921,NaN,,,,,,,
ENSG00000237950.3,chr1,43937917,43940781,2864,NaN,,,,,,,
ENSG00000288573.1,chr1,43944369,43946551,2182,NaN,,,,,,,
ENSG00000117408.11,chr1,43946949,43968022,21073,NaN,,,,,,,
ENSG00000285649.1,chr1,43968350,43974821,6471,NaN,,,,,,,
ENSG00000132768.14,chr1,43969999,43973369,3370,NaN,,,,,,,
ENSG00000117410.14,chr1,43974486,43978295,3809,NaN,,,,,,,
ENSG00000117411.16,chr1,43978942,43991170,12228,NaN,,,,,,,
ENSG00000159214.13,chr1,43991358,43996528,5170,NaN,,,,,,,
ENSG00000196517.13,chr1,43991499,44031467,39968,NaN,,,,,,,
ENSG00000230615.7,chr1,44030436,44115913,85477,NaN,,,,,,,
ENSG00000227163.2,chr1,44087957,44088477,520,NaN,,,,,,,
ENSG00000271647.1,chr1,44103305,44104703,1398,NaN,,,,,,,
ENSG00000239560.3,chr1,44117097,44117397,300,NaN,,,,,,,
ENSG00000171872.5,chr1,44118820,44135140,16320,NaN,,,,,,,
ENSG00000233514.1,chr1,44122152,44122512,360,NaN,,,,,,,
ENSG00000283039.1,chr1,44137820,44141631,3811,NaN,,,,,,,
ENSG00000226804.4,chr1,44150593,44151753,1160,NaN,,,,,,,
ENSG00000200171.1,chr1,44153384,44153480,96,NaN,,,,,,,
ENSG00000238037.1,chr1,44155027,44155301,274,NaN,,,,,,,
ENSG00000227994.1,chr1,44172505,44172719,214,NaN,,,,,,,
ENSG00000271329.1,chr1,44187942,44189049,1107,NaN,,,,,,,
ENSG00000178028.14,chr1,44213454,44220681,7227,NaN,,,,,,,
ENSG00000117419.16,chr1,44221069,44355260,134191,NaN,,,,,,,
ENSG00000233602.1,chr1,44243407,44244273,866,NaN,,,,,,,
ENSG00000199385.1,chr1,44390721,44390823,102,NaN,,,,,,,
ENSG00000187147.18,chr1,44405193,44651724,246531,NaN,,,,,,,
ENSG00000263381.1,chr1,44545492,44545552,60,NaN,,,,,,,
ENSG00000126106.14,chr1,44635237,44674481,39244,NaN,,,,,,,
ENSG00000198520.12,chr1,44674691,44725591,50900,NaN,,,,,,,
ENSG00000199377.1,chr1,44721785,44721902,117,NaN,,,,,,,
ENSG00000200169.1,chr1,44731054,44731170,116,NaN,,,,,,,
ENSG00000142945.13,chr1,44739817,44767767,27950,NaN,,,,,,,
ENSG00000225721.5,chr1,44759036,44775810,16774,NaN,,,,,,,
ENSG00000142937.12,chr1,44775250,44778779,3529,NaN,,,,,,,
ENSG00000264294.1,chr1,44775863,44775943,80,NaN,,,,,,,
ENSG00000200913.1,chr1,44776489,44776593,104,NaN,,,,,,,
ENSG00000202031.1,chr1,44777842,44777912,70,NaN,,,,,,,
ENSG00000207421.1,chr1,44778389,44778456,67,NaN,,,,,,,
ENSG00000281859.1,chr1,44778389,44778458,69,NaN,,,,,,,
ENSG00000234093.3,chr1,44780330,44780715,385,NaN,,,,,,,
ENSG00000142959.5,chr1,44783584,44788170,4586,NaN,,,,,,,
ENSG00000173846.13,chr1,44800376,44805990,5614,NaN,,,,,,,
ENSG00000188396.4,chr1,44805892,44807351,1459,NaN,,,,,,,
ENSG00000222009.8,chr1,44808481,44815585,7104,NaN,,,,,,,
ENSG00000117425.14,chr1,44819843,44843253,23410,NaN,,,,,,,
ENSG00000202444.1,chr1,44819882,44819997,115,NaN,,,,,,,
ENSG00000226499.1,chr1,44843920,44844082,162,NaN,,,,,,,
ENSG00000070785.17,chr1,44850521,44986722,136201,NaN,,,,,,,
ENSG00000253039.1,chr1,44932322,44932431,109,NaN,,,,,,,
ENSG00000229815.1,chr1,44958556,44959395,839,NaN,,,,,,,
ENSG00000232369.1,chr1,44988233,44988725,492,NaN,,,,,,,
ENSG00000268949.1,chr1,44988704,44991834,3130,NaN,,,,,,,
ENSG00000126107.15,chr1,45002539,45011324,8785,NaN,,,,,,,
ENSG00000126088.14,chr1,45010949,45015575,4626,NaN,,,,,,,
ENSG00000162415.7,chr1,45016398,45306209,289811,NaN,,,,,,,
ENSG00000234315.1,chr1,45069976,45070429,453,NaN,,,,,,,
ENSG00000281912.1,chr1,45303909,45305619,1710,NaN,,,,,,,
ENSG00000186603.6,chr1,45326894,45328679,1785,NaN,,,,,,,
ENSG00000132781.19,chr1,45329162,45340893,11731,NaN,,,,,,,
ENSG00000288208.1,chr1,45329261,45491155,161894,NaN,,,,,,,
ENSG00000132773.12,chr1,45340051,45343973,3922,NaN,,,,,,,
ENSG00000070759.17,chr1,45343882,45491163,147281,NaN,,,,,,,
ENSG00000236872.1,chr1,45415019,45415344,325,NaN,,,,,,,
ENSG00000280670.3,chr1,45493865,45500079,6214,NaN,,,,,,,
ENSG00000132763.15,chr1,45500299,45513382,13083,NaN,,,,,,,
ENSG00000117450.14,chr1,45511035,45523047,12012,NaN,,,,,,,
ENSG00000234379.1,chr1,45530926,45532139,1213,NaN,,,,,,,
ENSG00000117448.13,chr1,45550542,45570049,19507,NaN,,,,,,,
ENSG00000281133.1,chr1,45580891,45580996,105,NaN,,,,,,,
ENSG00000280836.1,chr1,45581218,45581321,103,NaN,,,,,,,
ENSG00000132780.17,chr1,45583845,45618904,35059,NaN,,,,,,,
ENSG00000281112.1,chr1,45592721,45592814,93,NaN,,,,,,,
ENSG00000281825.1,chr1,45605656,45605730,74,NaN,,,,,,,
ENSG00000159588.15,chr1,45620043,45624057,4014,NaN,,,,,,,
ENSG00000159592.11,chr1,45627303,45688113,60810,NaN,,,,,,,
ENSG00000225447.1,chr1,45645815,45646197,382,NaN,,,,,,,
ENSG00000234329.1,chr1,45651038,45651826,788,NaN,,,,,,,
ENSG00000159596.7,chr1,45688180,45694436,6256,11.85,11,5.8,3,9,11,14,30
ENSG00000197429.11,chr1,45694323,45750653,56330,6.71,6,3.6,1,3,6,9,18
ENSG00000230896.1,chr1,45694683,45697075,2392,3.67,4,2.05,1,2,4,5,9
ENSG00000236111.5,chr1,45781276,45781957,681,1,1,0,1,1,1,1,1
ENSG00000086015.22,chr1,45786986,46036122,249136,8.18,8,2.73,1,6,8,11,22
ENSG00000232467.2,chr1,45846993,45847594,601,6,6,0,6,6,6,6,6
ENSG00000117461.15,chr1,46040139,46133036,92897,4,5,1.71,1,2,5,5,13
ENSG00000278139.1,chr1,46043660,46176488,132828,4.06,5,1.7,1,3,5,5,13
ENSG00000226957.1,chr1,46046817,46048368,1551,1,1,0,1,1,1,1,1
ENSG00000233114.2,chr1,46104949,46105175,226,5,5,0,5,5,5,5,5
ENSG00000227857.2,chr1,46134530,46139081,4551,NaN,,,,,,,
ENSG00000117472.10,chr1,46175072,46185962,10890,1,1,0,1,1,1,1,1
ENSG00000250719.2,chr1,46175485,46176488,1003,NaN,,,,,,,
ENSG00000085998.14,chr1,46188681,46220305,31624,18.66,23,12.99,1,2,23,28,46
ENSG00000171357.6,chr1,46203333,46221256,17923,1.22,1,0.55,1,1,1,1,3
ENSG00000085999.13,chr1,46246460,46278480,32020,1.86,2,1.01,1,1,2,2,19
ENSG00000132128.16,chr1,46261195,46303608,42413,27.88,37,15.73,1,19,37,38,78
ENSG00000173660.12,chr1,46303697,46316776,13079,296.73,284,47.55,1,259,284,342,526
ENSG00000117481.10,chr1,46340176,46365152,24976,15.62,17,4.14,1,14,17,18,25
ENSG00000225779.1,chr1,46370585,46370955,370,1,1,0,1,1,1,1,1
ENSG00000117480.16,chr1,46394316,46413848,19532,12.59,13,5.95,1,7,13,15,33
ENSG00000232022.7,chr1,46432128,46482493,50365,2.34,2,1.56,1,1,2,3,8
ENSG00000224863.3,chr1,46446599,46451317,4718,1.26,1,0.44,1,1,1,2,2
ENSG00000197587.11,chr1,46489835,46516216,26381,NaN,,,,,,,
ENSG00000282881.2,chr1,46532165,46543969,11804,NaN,,,,,,,
ENSG00000269956.2,chr1,46538610,46570255,31645,85.3,88,14.47,1,72,88,94,130
ENSG00000162456.10,chr1,46545640,46551647,6007,NaN,,,,,,,
ENSG00000079277.22,chr1,46557406,46616843,59437,64.74,75,29.85,1,36,75,87,130
ENSG00000142961.14,chr1,46607714,46616891,9177,31.75,34,8.6,1,26,34,34,69
ENSG00000123472.12,chr1,46632736,46673867,41131,33.15,38,15.51,1,34,38,44,67
ENSG00000233647.2,chr1,46665909,46666375,466,50.12,50,0.33,50,50,50,50,51
ENSG00000186118.9,chr1,46668854,46673594,4740,1.04,1,0.19,1,1,1,1,2
ENSG00000228237.5,chr1,46674035,46692098,18063,97.3,108,33.5,1,81,108,120,168
ENSG00000159658.13,chr1,46674658,46719146,44488,112.5,117,22.98,1,108,117,122,173
ENSG00000236476.2,chr1,46742328,46743133,805,NaN,,,,,,,
ENSG00000142973.14,chr1,46757837,46819413,61576,3.32,4,1.06,1,2,4,4,4
ENSG00000154198.14,chr1,46843094,46900437,57343,1,1,0,1,1,1,1,1
ENSG00000238145.2,chr1,46891638,46892830,1192,NaN,,,,,,,
ENSG00000187048.13,chr1,46929176,46941484,12308,NaN,,,,,,,
ENSG00000259832.1,chr1,46967678,46967874,196,NaN,,,,,,,
ENSG00000261196.1,chr1,46994381,46994502,121,NaN,,,,,,,
ENSG00000261593.1,chr1,47000897,47001087,190,NaN,,,,,,,
ENSG00000261290.1,chr1,47002994,47003148,154,NaN,,,,,,,
ENSG00000186377.8,chr1,47023668,47050751,27083,1,1,0,1,1,1,1,1
ENSG00000186160.5,chr1,47067230,47118318,51088,NaN,,,,,,,
ENSG00000225154.2,chr1,47074777,47075979,1202,NaN,,,,,,,
ENSG00000225506.2,chr1,47096652,47179271,82619,NaN,,,,,,,
ENSG00000162365.12,chr1,47137434,47149735,12301,NaN,,,,,,,
ENSG00000225514.1,chr1,47164509,47165920,1411,NaN,,,,,,,
ENSG00000224805.2,chr1,47179249,47180339,1090,1.88,1,1.09,1,1,1,3,4
ENSG00000162366.8,chr1,47183581,47191044,7463,105.32,110,46.12,1,103,110,150,164
ENSG00000162367.11,chr1,47216289,47232220,15931,9.67,10,3.75,1,6,10,12,21
ENSG00000226252.1,chr1,47225796,47230750,4954,9.65,7,3.95,3,6,7,13,18
ENSG00000123473.16,chr1,47250138,47314147,64009,1.35,1,0.49,1,1,1,2,6
ENSG00000162368.13,chr1,47333796,47378839,45043,156.56,159,24.32,1,159,159,159,259
ENSG00000225762.1,chr1,47380927,47408477,27550,1.49,1,0.8,1,1,1,2,4
ENSG00000186790.6,chr1,47416284,47418052,1768,NaN,,,,,,,
ENSG00000237424.1,chr1,47432132,47434641,2509,3.04,3,1.7,1,2,3,4,7
ENSG00000186564.6,chr1,47438043,47440691,2648,1.79,1,1.11,1,1,1,2,5
ENSG00000271355.1,chr1,47483697,47484162,465,NaN,,,,,,,
ENSG00000229554.2,chr1,47497893,47498341,448,NaN,,,,,,,
ENSG00000227883.1,chr1,47550195,47550753,558,NaN,,,,,,,
ENSG00000227947.2,chr1,47688462,47704029,15567,NaN,,,,,,,
ENSG00000269113.4,chr1,47760527,47997385,236858,1,1,0,1,1,1,1,1
ENSG00000223814.1,chr1,47761131,47765547,4416,NaN,,,,,,,
ENSG00000225028.1,chr1,47818065,47820237,2172,NaN,,,,,,,
ENSG00000226133.6,chr1,48050658,48091736,41078,NaN,,,,,,,
ENSG00000231413.1,chr1,48078786,48082196,3410,NaN,,,,,,,
ENSG00000237180.1,chr1,48089367,48089634,267,NaN,,,,,,,
ENSG00000242267.6,chr1,48096091,48182428,86337,1,1,0,1,1,1,1,1
ENSG00000279096.2,chr1,48102067,48104736,2669,NaN,,,,,,,
ENSG00000223720.2,chr1,48172971,48206857,33886,3,3,0,3,3,3,3,3
ENSG00000117834.13,chr1,48222684,48248644,25960,1.58,1,1.02,1,1,1,2,6
ENSG00000272491.1,chr1,48227887,48229561,1674,1.41,1,0.49,1,1,1,2,2
ENSG00000279214.1,chr1,48262229,48263179,950,3,3,0,3,3,3,3,3
ENSG00000132122.12,chr1,48295372,48472208,176836,2.2,2,1.28,1,2,2,2,9
ENSG00000224986.2,chr1,48325079,48326123,1044,2,2,0,2,2,2,2,2
ENSG00000206700.1,chr1,48344208,48344315,107,2,2,0,2,2,2,2,2
ENSG00000235105.1,chr1,48435966,48437223,1257,NaN,,,,,,,
ENSG00000223175.1,chr1,48447935,48448042,107,NaN,,,,,,,
ENSG00000232514.1,chr1,48497262,48497736,474,NaN,,,,,,,
ENSG00000186094.17,chr1,48532853,50023954,1491101,1.17,1,0.38,1,1,1,1,2
ENSG00000287661.1,chr1,48552990,48558106,5116,NaN,,,,,,,
ENSG00000162373.13,chr1,48727518,48776969,49451,NaN,,,,,,,
ENSG00000286597.1,chr1,48926020,48936734,10714,NaN,,,,,,,
ENSG00000229846.2,chr1,49025594,49187585,161991,NaN,,,,,,,
ENSG00000230114.1,chr1,49257410,49269285,11875,NaN,,,,,,,
ENSG00000225623.1,chr1,49374200,49472085,97885,1.57,2,0.5,1,1,2,2,2
ENSG00000237478.2,chr1,49691261,49691523,262,NaN,,,,,,,
ENSG00000215887.5,chr1,49841820,49846400,4580,NaN,,,,,,,
ENSG00000279324.1,chr1,49994317,49996218,1901,NaN,,,,,,,
ENSG00000233595.2,chr1,50017091,50017503,412,NaN,,,,,,,
ENSG00000162374.18,chr1,50024028,50203772,179744,1,1,0,1,1,1,1,1
ENSG00000230828.1,chr1,50114936,50115282,346,NaN,,,,,,,
ENSG00000237337.1,chr1,50174305,50175868,1563,NaN,,,,,,,
ENSG00000233407.1,chr1,50206083,50223127,17044,NaN,,,,,,,
ENSG00000284696.2,chr1,50229661,50321192,91531,NaN,,,,,,,
ENSG00000284645.1,chr1,50252568,50258994,6426,NaN,,,,,,,
ENSG00000234080.3,chr1,50326130,50327007,877,2,2,0,2,2,2,2,2
ENSG00000229316.1,chr1,50398824,50399773,949,NaN,,,,,,,
ENSG00000225671.2,chr1,50405429,50406024,595,NaN,,,,,,,
ENSG00000142700.12,chr1,50417549,50423443,5894,NaN,,,,,,,
ENSG00000284700.1,chr1,50423608,50425316,1708,NaN,,,,,,,
ENSG00000185104.20,chr1,50437027,50960267,523240,29.81,31,9.86,1,24,31,34,61
ENSG00000225767.1,chr1,50461468,50471150,9682,13.08,13,0.28,13,13,13,13,14
ENSG00000207194.1,chr1,50582403,50582511,108,25,25,0,25,25,25,25,25
ENSG00000230585.2,chr1,50780339,50781150,811,32.02,32,0.93,31,31,32,32,34
